start_date;emplacement_pk_start;end_date;emplacement_pk_end;is_member
2021-05-13 19:37:34;420;2021-05-13 19:41:49;370;1
2022-11-13 16:03:42;607;2022-11-13 16:07:08;1041;0
2022-07-13 18:48:29;436;2022-07-13 19:00:43;234;1
2022-07-31 18:48:07;651;2022-07-31 19:11:31;211;1
2022-08-31 17:04:27;1232;2022-08-31 17:22:13;561;0
2022-04-30 11:04:33;1076;2022-04-30 11:05:45;1076;1
2022-10-02 13:21:09;749;2022-10-02 13:34:21;370;0
2021-07-21 22:11:13;537;2021-07-21 22:23:32;431;1
2021-09-20 12:38:50;510;2021-09-20 12:41:49;200;1
2021-09-23 00:07:02;411;2021-09-23 00:10:27;276;1
2022-11-13 13:34:30;278;2022-11-13 13:38:54;259;0
2022-05-30 13:48:40;395;2022-05-30 14:10:45;532;1
2021-06-19 15:32:00;241;2021-06-19 15:32:38;241;1
2022-08-06 19:21:30;326;2022-08-06 19:26:03;336;1
2022-08-11 22:34:44;572;2022-08-11 22:39:39;1150;0
2022-09-01 13:46:07;427;2022-09-01 14:06:52;309;0
2022-08-19 08:31:48;471;2022-08-19 08:41:34;759;1
2021-09-01 22:47:38;935;2021-09-01 23:26:13;935;0
2021-11-01 15:32:28;582;2021-11-01 15:39:50;553;1
2021-09-21 22:45:37;339;2021-09-21 22:51:47;315;1
2021-08-17 14:51:32;984;2021-08-17 15:06:42;339;1
2022-04-26 08:25:22;790;2022-04-26 08:33:16;480;1
2021-11-06 12:52:05;333;2021-11-06 12:56:10;325;1
2022-08-31 16:29:45;1214;2022-08-31 16:40:49;135;0
2022-08-16 08:24:30;430;2022-08-16 08:35:47;855;1
2022-04-23 15:45:54;860;2022-04-23 16:45:47;860;0
2022-07-12 15:40:12;242;2022-07-12 15:54:20;235;1
2022-09-06 08:53:39;251;2022-09-06 09:18:58;1183;0
2021-05-30 15:59:24;310;2021-05-30 16:09:24;398;1
2022-04-15 02:29:55;437;2022-04-15 02:56:17;688;0
2022-09-27 18:52:02;1137;2022-09-27 18:54:46;512;0
2022-08-24 16:10:35;267;2022-08-24 16:13:20;214;1
2022-09-23 08:26:17;338;2022-09-23 08:34:13;625;0
2021-09-03 08:17:36;275;2021-09-03 08:50:26;429;0
2021-07-10 20:12:50;160;2021-07-10 20:39:25;168;0
2021-05-22 10:49:08;176;2021-05-22 10:58:58;177;1
2022-07-23 16:17:46;455;2022-07-23 16:21:35;841;1
2022-06-06 23:40:07;169;2022-06-06 23:52:52;239;1
2022-07-08 18:17:44;459;2022-07-08 18:38:26;404;1
2021-09-23 10:14:12;214;2021-09-23 10:17:06;211;1
2022-06-25 18:11:47;145;2022-06-25 18:39:38;646;1
2021-11-06 13:50:25;470;2021-11-06 14:19:04;987;0
2021-09-03 15:40:58;470;2021-09-03 16:18:50;532;0
2021-10-04 17:37:12;559;2021-10-04 17:43:53;561;1
2021-07-11 22:02:30;149;2021-07-11 22:08:18;869;1
2022-08-11 12:36:30;935;2022-08-11 13:06:10;566;1
2022-04-23 08:15:33;175;2022-04-23 08:19:23;182;1
2021-10-05 16:03:01;327;2021-10-05 16:09:06;749;1
2022-09-27 18:44:57;249;2022-09-27 18:52:14;216;0
2022-08-05 13:18:27;273;2022-08-05 13:21:01;1185;1
2021-08-18 08:00:29;262;2021-08-18 08:35:01;635;0
2022-09-23 16:50:51;676;2022-09-23 17:01:47;865;0
2021-06-29 14:51:37;761;2021-06-29 14:56:21;247;1
2021-06-12 19:11:55;186;2021-06-12 19:31:30;13;0
2021-07-31 18:20:15;526;2021-07-31 18:47:55;422;0
2022-09-12 17:36:57;385;2022-09-12 18:06:55;1186;0
2021-09-01 08:38:06;285;2021-09-01 08:49:21;153;1
2022-09-16 16:36:03;256;2022-09-16 16:51:59;302;0
2021-07-19 17:01:22;864;2021-07-19 17:18:21;202;1
2021-07-24 08:58:56;838;2021-07-24 09:04:15;173;1
2022-09-14 16:57:30;527;2022-09-14 17:11:36;530;0
2022-05-19 18:07:52;675;2022-05-19 18:39:38;377;0
2022-05-24 00:28:44;379;2022-05-24 00:36:19;413;0
2022-06-15 10:56:28;358;2022-06-15 10:58:51;356;1
2021-08-11 18:51:27;217;2021-08-11 18:58:02;586;1
2021-08-04 11:02:13;148;2021-08-04 11:08:11;250;1
2021-05-02 17:18:57;623;2021-05-02 17:31:13;623;0
2022-07-25 21:11:48;771;2022-07-25 21:19:11;674;1
2022-10-26 15:13:46;161;2022-10-26 15:18:54;986;0
2022-05-12 17:26:15;1027;2022-05-12 17:45:13;194;1
2022-08-14 10:35:32;273;2022-08-14 10:38:03;278;1
2022-10-15 09:29:14;370;2022-10-15 09:51:04;349;0
2022-04-18 13:35:46;13;2022-04-18 13:40:10;206;1
2021-06-08 07:44:51;462;2021-06-08 07:51:21;415;1
2021-10-18 20:19:30;437;2021-10-18 20:25:57;244;1
2022-11-15 17:17:52;312;2022-11-15 17:20:37;323;0
2022-10-26 07:17:19;650;2022-10-26 07:43:45;384;0
2022-09-03 13:07:07;158;2022-09-03 13:25:28;1254;0
2022-04-22 08:03:51;239;2022-04-22 08:23:56;396;1
2021-05-21 11:40:35;350;2021-05-21 12:07:49;330;1
2022-08-02 11:39:05;641;2022-08-02 12:06:57;641;1
2022-08-03 01:49:13;472;2022-08-03 02:03:24;289;1
2021-08-26 07:34:22;159;2021-08-26 07:45:04;929;1
2021-06-29 18:32:55;173;2021-06-29 18:41:57;208;0
2021-05-26 18:34:48;468;2021-05-26 19:14:26;947;1
2022-08-18 12:13:53;1027;2022-08-18 12:17:43;395;1
2022-08-02 14:47:52;984;2022-08-02 14:54:45;941;1
2022-05-23 21:16:29;589;2022-05-23 21:29:06;169;1
2022-07-09 00:56:48;92;2022-07-09 01:07:03;663;1
2021-09-25 18:25:06;1073;2021-09-25 18:30:55;241;1
2022-08-08 15:52:43;837;2022-08-08 16:00:54;236;1
2021-06-14 09:00:47;316;2021-06-14 09:07:34;259;1
